id	name
hair255	碧云鬟
hair256	狐姬
hair257	飞仙云鬓
hair258	草莓棉花糖
hair259	焦糖玛奇朵
hair260	火树银花
hair261	紫气东来
hair262	冰雪银鬓
hair263	梦中澜情
hair264	海棠丸子
hair265	舞动青春
hair266	优雅荧粉
hair267	清影洛丽塔
hair268	森系芊芊
hair269	薄荷奶绿
hair270	潮流蛋卷
hair271	琉璃盏
hair272	桃熏花影
hair273	紫蔷薇
hair274	孔雀青
hair275	暖黄雀金
hair276	柳岚
hair277	盘髻窕红
hair278	coco焦糖
hair279	青婉
hair280	银痕
hair281	清新梨花
hair282	柳缦
hair283	乖巧波波头
hair284	梦幻紫生
hair285	幽蓝长蓬
hair286	长鬓马尾
hair287	温婉丽发
hair288	橙黄浪卷
hair289	贤淑风
hair290	阳光丽人
hair291	粉旋
hair292	鸳鸯马尾
hair293	盘结丸子
hair294	束鬟
hair295	莺莺
hair296	仙子髻
hair297	粉紫奇遇
hair298	鬓发如云
hair299	淡黄小卷
hair300	云髻峨峨
hair301	吉祥如意结
hair302	俏皮丸子
hair303	冰蓝短发
hair304	萌萌双马尾
hair177	清爽小啾
hair207	寒冬暖流
hair212	公举卷发
hair216	萌萌花仙子
hair218	松散马尾
hair222	女王之海
hair224	圣洁之光
hair223	轻粉飞扬
hair226	可爱马尾
hair227	迷人卷发
hair228	夜风喧嚣
hair230	丰登穗
hair229	随云髻
hair232	香草绵绵冰
hair231	莓果奶昔
hair233	光耀六合
hair235	紫罗兰之梦
hair239	金风
hair240	运斤如风
hair243	血族卷发
hair241	软萌丸子头
hair242	学姐长发
hair244	银白霜华
hair245	闪耀之夜
hair246	如意绵绵
hair247	绯色悠然
hair248	乖巧齐肩发
hair249	眉上刘海
hair250	四月之梦
hair251	萝莉姬
hair252	浩瀚之羽
hair253	见习偶像
